line,station,bearing_used,bearing_src,bearing_gtfs,bearing_osm_track,dist_track_m,bearing_pca,elongation,area_m2,band_len_m,w_median_core100,w_median_all,w_min,w_p10,centroid_lat,centroid_lon
L2-Tlalpan,Portales,8.25,gtfs_shapes,8.25,8.01,3.1,5.46,2.51,2854.4,171.0,13.17,12.75,10.65,11.19,19.3699523,-99.1415639
L2-Tlalpan,Xola,8.74,gtfs_shapes,8.74,8.91,3.5,7.16,2.43,3049.6,171.6,13.54,13.18,11.83,12.3,19.395197,-99.137804
L2-Tlalpan,Nativitas,8.52,gtfs_shapes,8.52,8.12,1.5,6.91,2.08,2966.9,171.5,12.75,12.34,11.3,11.69,19.3795464,-99.1401985
L2-Tlalpan,Viaducto,8.32,gtfs_shapes,8.32,8.4,3.5,13.21,2.16,3038.1,171.6,13.22,12.68,11.33,11.59,19.4008868,-99.1368843
L2-Tlalpan,Villa de Cortes,8.26,gtfs_shapes,8.26,8.24,2.9,8.12,2.41,3504.1,170.9,14.15,13.87,12.0,12.56,19.3875836,-99.1389625
L2-Tlalpan,General Anaya,16.1,gtfs_shapes,16.1,16.2,1.8,10.97,2.15,2919.7,171.6,13.18,12.62,8.83,11.63,19.3532707,-99.145002
L2-Tlalpan,Ermita,9.72,gtfs_shapes,9.72,9.53,1.5,5.34,1.9,2600.1,163.5,10.55,10.73,10.23,10.37,19.361969,-99.1429123
L7,El Rosario,16.73,osm_track_w1424826150,,16.73,41.2,35.51,2.47,6422.1,236.3,29.37,29.35,28.53,28.89,19.5046664,-99.1996264
L7,Aquiles Serdan,143.42,osm_track_w320892187,,143.42,0.8,141.99,1.24,5130.4,153.9,15.48,15.57,15.07,15.26,19.4908159,-99.1954314
L7,Camarones,2.57,osm_track_w320892187,,2.57,1.7,3.04,1.46,5464.4,153.3,16.01,15.94,15.66,15.73,19.4790966,-99.1900428
L7,Refineria,3.14,osm_track_w320892187,,3.14,1.6,14.94,1.72,5801.2,151.6,41.98,28.32,10.43,13.76,19.4692325,-99.1904999
L7,Tacuba,100.75,pca_area,,105.82,146.0,100.75,1.53,5294.8,163.4,16.51,16.51,15.29,15.83,19.4594107,-99.188323
L7,San Joaquin,7.22,osm_track_w320892187,,7.22,1.1,7.0,1.3,5280.6,152.4,15.34,15.33,15.03,15.14,19.4449556,-99.1917868
L7,Polanco,5.22,osm_track_w320892187,,5.22,7.1,87.26,1.26,5885.3,152.5,16.18,16.19,15.5,15.62,19.4335865,-99.1909774
L7,Auditorio,10.16,osm_track_w320892187,,10.16,33.8,152.88,1.4,6601.6,187.8,22.86,22.86,10.05,17.04,19.4251149,-99.1925589
L7,Constituyentes,158.83,osm_track_w320892187,,158.83,0.8,161.48,1.54,5815.5,149.7,15.34,15.3,15.06,15.1,19.4115737,-99.1913207
L7,Tacubaya,150.27,osm_track_w320892187,,150.27,76.0,53.54,3.98,5985.5,68.7,127.59,127.59,19.25,38.0,19.40256,-99.1878168
L7,San Pedro de los Pinos,8.51,osm_track_w320892187,,8.51,31.0,9.37,1.47,4491.9,153.1,15.01,15.05,14.44,14.53,19.3914395,-99.1858392
L7,San Antonio,5.83,osm_track_w320892187,,5.83,3.7,166.58,1.34,4585.9,153.4,13.93,13.96,13.74,13.91,19.384642,-99.1866478
L7,Mixcoac,7.43,osm_track_w320892187,,7.43,0.8,159.99,1.13,5198.8,154.7,14.23,14.23,13.88,13.92,19.3762301,-99.1876055
L7,Barranca del Muerto,4.32,osm_track_w320892187,,4.32,0.2,1.13,1.08,4918.0,152.3,14.54,14.54,14.16,14.26,19.3615754,-99.1892537
