folder,name,gtfs_match,gtfs_stop_id,gtfs_stop_name,dist_gtfs_point_m,n_vertices,centroid_lat,centroid_lon,area_m2,mar_length_m,mar_width_m,aspect_ratio,rect_fill,bearing_mar_deg,bearing_pca_area_deg,elongation_pca,line_bearing_shape_proj_deg,dist_centroid_to_track_m,diff_pca_vs_track_deg,bearing_longest_edge_deg,longest_edge_m,bbox_w_m,bbox_h_m,line_bearing_kml_seg_deg,diff_kml_seg_deg
Line 1,Pantitlan,exacto+linea,0200L1-PANTITLAN,Pantitlán,29.2,31,19.4163995,-99.0744714,9548.6,260.1,116.3,2.24,0.316,7.6,27.0,1.51,,,,7.6,259.4,147.2,258.7,8.8,1.2
Line 1,Zaragoza,exacto+linea,0200L1-ZARAGOZA,Zaragoza,45.1,41,19.412303,-99.0824286,8701.3,177.9,174.2,1.02,0.281,59.5,3.3,1.35,,,,121.4,81.2,152.3,234.4,120.5,61.0
Line 1,Gomez Farias,exacto+linea,0200L1-GOMEZFARIAS,Gómez Farías,5.8,28,19.4164339,-99.0901841,4554.2,149.9,108.3,1.38,0.281,83.2,94.0,1.29,,,,120.8,62.6,148.5,119.7,120.5,37.3
Line 1,Bulevar Puerto Aereo,SIN MATCH,,,,77,19.4199207,-99.0963318,7086.1,186.4,155.5,1.2,0.244,68.4,29.0,1.73,,,,27.8,73.8,161.1,189.6,119.7,51.3
Line 1,Balbuena,exacto+linea,0200L1-BALBUENA,Balbuena,24.9,28,19.4231619,-99.1026591,4485.7,140.1,93.0,1.51,0.344,145.6,124.6,1.52,,,,117.7,69.9,139.3,107.5,117.7,27.9
Line 1,Moctezuma,exacto-nombre/otra-linea,0200L1_MOCTEZUMA,Moctezuma,21.2,43,19.4267057,-99.1096687,4081.0,142.2,86.2,1.65,0.333,92.5,115.6,1.81,,,,118.4,67.9,139.7,88.6,117.7,25.2
Line 1,San Lazaro,exacto+linea,0200L1-SANLAZARO,San Lázaro,2.9,14,19.4300852,-99.1142649,3567.5,156.5,55.8,2.81,0.409,144.8,157.1,4.39,157.7,0.6,0.6,157.6,62.4,79.0,152.6,154.3,9.5
Line 1,Candelaria,exacto+linea,0200L1-CANDELARIA,Candelaria,14.6,34,19.4296667,-99.1208743,5230.4,166.9,46.4,3.59,0.675,0.8,178.5,3.59,2.3,3.3,3.8,2.6,74.9,47.4,167.3,1.0,0.2
Line 1,Merced,exacto+linea,0200L1-MERCED,Merced,46.3,32,19.4253907,-99.1246016,3859.6,153.6,41.5,3.7,0.605,100.0,100.4,5.29,101.3,1.8,0.9,100.7,61.6,154.9,58.1,98.2,1.8
Line 1,Pino Suarez,exacto+linea,0200L1-PINOSUAREZ,Pino Suárez,26.3,48,19.4259058,-99.1328902,5529.8,145.7,94.1,1.55,0.403,118.9,113.1,1.76,94.7,4.1,18.4,95.7,84.4,152.7,114.8,95.6,23.3
Line 1,Isabel la Catolica,exacto+linea,0200L1-ISABELLACA,Isabel la Católica,16.8,26,19.4263609,-99.1379875,4199.7,148.3,89.5,1.66,0.317,75.9,96.2,1.71,,,,96.1,72.0,153.9,97.7,95.6,19.7
