station,anchor_lat,anchor_lon,bearing_deg,i,u_m,v_m,lat,lon
Portales,19.3699523,-99.1415639,8.2,0,20.99,-7.79,19.3701501,-99.1416087
Portales,19.3699523,-99.1415639,8.2,1,0.38,-7.31,19.3699651,-99.1416323
Portales,19.3699523,-99.1415639,8.2,2,1.14,-28.28,19.369999,-99.1418288
Portales,19.3699523,-99.1415639,8.2,3,9.94,-28.31,19.3700777,-99.1418171
Portales,19.3699523,-99.1415639,8.2,4,10.15,-44.73,19.3701007,-99.1419715
Portales,19.3699523,-99.1415639,8.2,5,-3.55,-45.32,19.3699789,-99.1419957
Portales,19.3699523,-99.1415639,8.2,6,-4.31,-7.56,19.3699235,-99.141641
Portales,19.3699523,-99.1415639,8.2,7,-24.6,-7.26,19.3697417,-99.1416657
Portales,19.3699523,-99.1415639,8.2,8,-84.93,-6.18,19.3692009,-99.1417374
Portales,19.3699523,-99.1415639,8.2,9,-85.11,4.44,19.3691856,-99.1416376
Portales,19.3699523,-99.1415639,8.2,10,-24.12,5.56,19.3697295,-99.1415443
Portales,19.3699523,-99.1415639,8.2,11,-14.55,5.77,19.3698148,-99.1415293
Portales,19.3699523,-99.1415639,8.2,12,-14.64,28.35,19.3697849,-99.1413167
Portales,19.3699523,-99.1415639,8.2,13,-22.31,28.41,19.3697162,-99.1413265
Portales,19.3699523,-99.1415639,8.2,14,-21.83,48.76,19.3696942,-99.1411342
Portales,19.3699523,-99.1415639,8.2,15,-9.22,48.82,19.369807,-99.1411165
Portales,19.3699523,-99.1415639,8.2,16,-9.52,5.69,19.3698599,-99.1415232
Portales,19.3699523,-99.1415639,8.2,17,21.04,5.84,19.3701329,-99.1414803
Portales,19.3699523,-99.1415639,8.2,18,85.93,5.45,19.3707136,-99.1413959
Portales,19.3699523,-99.1415639,8.2,19,85.82,-6.64,19.3707282,-99.14151
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,0,18.63,-5.72,19.3916125,-99.1858733
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,1,18.42,-12.03,19.3916171,-99.1859331
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,2,32.25,-12.01,19.3917413,-99.1859181
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,3,33.55,-11.47,19.3917524,-99.1859115
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,4,34.35,-10.63,19.3917586,-99.1859028
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,5,34.88,-9.29,19.3917621,-99.1858895
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,6,34.72,-5.78,19.3917571,-99.1858564
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,7,40.93,-5.79,19.3918128,-99.1858499
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,8,40.83,-10.19,19.3918164,-99.1858916
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,9,40.37,-11.73,19.3918139,-99.1859067
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,10,38.95,-14.17,19.3918035,-99.1859312
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,11,36.76,-15.95,19.3917858,-99.1859504
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,12,33.82,-16.86,19.3917603,-99.1859622
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,13,26.59,-17.21,19.3916957,-99.1859734
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,14,18.37,-17.45,19.3916222,-99.1859845
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,15,18.47,-19.2,19.3916249,-99.1860009
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,16,19.27,-19.88,19.3916328,-99.1860065
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,17,20.55,-21.6,19.3916461,-99.1860214
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,18,20.97,-23.84,19.3916521,-99.1860421
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,19,20.73,-25.81,19.3916519,-99.186061
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,20,20.18,-27.21,19.3916485,-99.1860748
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,21,18.89,-28.55,19.3916382,-99.1860889
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,22,19.0,-40.86,19.3916519,-99.1862052
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,23,18.33,-44.38,19.3916494,-99.1862392
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,24,17.27,-46.77,19.3916424,-99.186263
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,25,14.63,-49.22,19.3916211,-99.186289
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,26,12.17,-50.26,19.3916001,-99.1863015
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,27,9.3,-51.07,19.3915752,-99.1863123
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,28,-11.48,-51.23,19.3913888,-99.1863362
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,29,-11.44,-52.37,19.3913904,-99.1863469
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,30,-17.07,-52.37,19.3913398,-99.186353
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,31,-17.27,-31.72,19.391317,-99.1861578
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,32,8.21,-31.5,19.3915454,-99.1861283
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,33,8.25,-32.89,19.3915472,-99.1861415
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,34,10.49,-32.85,19.3915673,-99.1861386
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,35,10.44,-41.49,19.3915756,-99.1862204
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,36,8.11,-41.42,19.3915546,-99.1862222
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,37,7.88,-44.38,19.3915556,-99.1862505
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,38,9.44,-44.43,19.3915697,-99.1862493
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,39,10.03,-43.8,19.3915743,-99.1862426
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,40,11.2,-42.7,19.3915837,-99.186231
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,41,11.44,-40.78,19.3915839,-99.1862126
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,42,11.29,-28.68,19.3915701,-99.1860983
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,43,9.86,-26.07,19.3915546,-99.1860751
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,44,9.43,-24.48,19.3915492,-99.1860606
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,45,9.53,-22.76,19.3915483,-99.1860442
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,46,10.5,-20.77,19.391555,-99.1860243
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,47,11.1,-19.46,19.391559,-99.1860113
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,48,11.25,-17.35,19.3915582,-99.1859912
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,49,-1.74,-17.15,19.3914414,-99.1860033
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,50,-4.36,-16.59,19.3914173,-99.1860008
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,51,-6.63,-15.48,19.3913958,-99.1859927
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,52,-7.99,-14.15,19.3913823,-99.1859816
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,53,-9.09,-12.52,19.3913707,-99.1859674
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,54,-9.68,-10.41,19.3913633,-99.1859481
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,55,-9.96,-8.25,19.3913586,-99.185928
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,56,-10.04,-5.72,19.3913553,-99.1859041
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,57,-4.62,-5.74,19.3914039,-99.1858985
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,58,-4.56,-7.2,19.3914059,-99.1859122
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,59,-4.52,-8.19,19.3914073,-99.1859216
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,60,-4.23,-9.6,19.3914113,-99.1859346
San Pedro de los Pinos,19.3914395,-99.1858392,6.5,61,-3.47,-10.84,19.3914195,-99.1859454
