"","linea","estacion","direccion","ubicacion","tipo"
"1","1","INSURGENTES","ANDÉN DIRECCIÓN PANTITLAN","DESPUES DE TORNIQUETES BAJA A ANDEN","ELEVADOR"
"2","1","SEVILLA","ANDÉN DIRECCIÓN OBSERVATORIO","EXTERIOR ANTES DE TORNIQUETES","ELEVADOR"
"3","1","SEVILLA","ANDÉN DIRECCIÓN PANTITLÁN","EXTERIOR ANTES DE TORNIQUETES","ELEVADOR"
"4","1","CUAUHTEMOC","ANDÉN DIRECCIÓN PANTITLÁN","ANTES DE TORNIQUETES (DENTRO ESTACIÓN)","ELEVADOR"
"5","1","CUAUHTEMOC","ANDÉN DIRECCIÓN OBSERVATORIO","ANTES DE TORNIQUETES (DENTRO ESTACIÓN)","ELEVADOR"
"6","1","SALTO DEL AGUA","ANDÉN DIRECCIÓN PANTITLÁN","DESPUES DE TORNIQUETES BAJA A ANDEN","ELEVADOR"
"7","1","SALTO DEL AGUA","ANDÉN DIRECCIÓN OBSERVATORIO","DESPUES DE TORNIQUETES BAJA A ANDEN","ELEVADOR"
"8","1","MERCED","ANDÉN DIRECCIÓN OBSERVATORIO","DESPUES DE TORNIQUETES BAJA A ANDEN","ELEVADOR"
"9","1","MERCED","ANDÉN DIRECCIÓN PANTITLÁN","DESPUES DE TORNIQUETES BAJA A ANDEN","ELEVADOR"
"10","1","BALBUENA","ANDÉN DIRECCIÓN PANTITLÁN","ANTES DE TORNIQUETES (DENTRO ESTACIÓN)","ELEVADOR"
"11","1","BALBUENA","ANDÉN DIRECCIÓN OBSERVATORIO","ANTES DE TORNIQUETES (DENTRO ESTACIÓN)","ELEVADOR"
"12","1","BOULEVARD PUERTO AEREO","ANDÉN DIRECCIÓN OBSERVATORIO","EXTERIOR ANTES DE TORNIQUETES","ELEVADOR"
"13","1","BOULEVARD PUERTO AEREO","ANDÉN DIRECCIÓN PANTITLÁN","EXTERIOR ANTES DE TORNIQUETES","ELEVADOR"
"14","1","MOCTEZUMA","ANDÉN DIRECCIÓN OBSERVATORIO","EXTERIOR ANTES DE TORNIQUETES","ELEVADOR"
"15","1","MOCTEZUMA","ANDÉN DIRECCIÓN PANTITLÁN","EXTERIOR ANTES DE TORNIQUETES","ELEVADOR"
"16","1","PANTITLAN","PANTITLAN","ANDEN CENTRAL","ELEVADOR"
"17","1","PANTITLAN","PANTITLAN","ANDEN CENTRAL, PASILLO DE CORRESPONDENCIA L-1, L-5, L-9","ELEVADOR"
"18","1","ZARAGOZA","OBSERVATORIO","ELEVADOR SIN SALIDA A LA CALLE, ANTES DE TORNIQUETES","ELEVADOR"
"19","1","PINO SUAREZ","PANTITLAN","ANDEN","ELEVADOR"
"20","1","PINO SUAREZ","OBSERVATORIO","PASAJE PINO SUAREZ","ELEVADOR"
"21","1","SALTO DEL AGUA","OBSERVATORIO","DESPUES DE TORNIQUETES","ELEVADOR"
"22","1","SALTO DEL AGUA","PANTITLAN","DESPUES DE TORNIQUETES","ELEVADOR"
"23","1","BALDERAS","OBSERVATORIO","DESPUES DE TORNIQUETES","ELEVADOR"
"24","1","OBSERVATORIO","PANTITLAN","ANDEN","ELEVADOR"
"25","1","OBSERVATORIO","OBSERVATORIO","ANDEN","ELEVADOR"
"26","2","PINO SUÁREZ","ANDEN DIRECCIÓN CUATRO CAMINOS","DENTRO DE ESTACIÓN, BAJA A ANDEN","ELEVADOR"
