"","linea","estacion","direccion","ubicacion","tipo"
"1","1","PINO SÚAREZ","OBSERVATORIO","ANDEN","ESCALERA ELECTROMECANICA"
"2","1","PINO SÚAREZ","OBSERVATORIO","ANDEN","ESCALERA ELECTROMECANICA"
"3","1","SALTO DEL AGUA","OBSERVATORIO","ANDEN","ESCALERA ELECTROMECANICA"
"4","1","SALTO DEL AGUA","PANTITLAN","ANDEN","ESCALERA ELECTROMECANICA"
"5","1","TACUBAYA","OBSERVATORIO","SALIDA","ESCALERA ELECTROMECANICA"
"6","1","TACUBAYA","PANTITLAN","SALIDA","ESCALERA ELECTROMECANICA"
"7","1","TACUBAYA","PANTITLAN","ANDEN","ESCALERA ELECTROMECANICA"
"8","1","ZARAGOZA","OBSERVATORIO","ANDEN","ESCALERA ELECTROMECANICA"
"9","1","ZARAGOZA","OBSERVATORIO","ANDEN","ESCALERA ELECTROMECANICA"
"10","1","ZARAGOZA","PANTITLAN","ANDEN","ESCALERA ELECTROMECANICA"
"11","1","GÓMEZ FARIAS","PANTITLAN","ANDEN","ESCALERA ELECTROMECANICA"
"12","1","GÓMEZ FARIAS","OBSERVATORIO","ANDEN","ESCALERA ELECTROMECANICA"
"13","1","ISABEL LA CATÓLICA","OBSERVATORIO","ANDEN","ESCALERA ELECTROMECANICA"
"14","1","ISABEL LA CATÓLICA","PANTITLAN","ANDEN","ESCALERA ELECTROMECANICA"
"15","1","CUAUHTÉMOC","OBSERVATORIO","ANDEN","ESCALERA ELECTROMECANICA"
"16","1","CUAUHTÉMOC","PANTITLAN","ANDEN","ESCALERA ELECTROMECANICA"
"17","1","SEVILLA","OBSERVATORIO","ANDEN","ESCALERA ELECTROMECANICA"
"18","1","SEVILLA","PANTITLAN","ANDEN","ESCALERA ELECTROMECANICA"
"19","1","BALBUENA","PANTITLAN","TORNIQUETES","ESCALERA ELECTROMECANICA"
"20","1","BALBUENA","OBSERVATORIO","TORNIQUETES","ESCALERA ELECTROMECANICA"
"21","1","MOCTEZUMA","PANTITLAN","TORNIQUETES","ESCALERA ELECTROMECANICA"
"22","1","MOCTEZUMA","OBSERVATORIO","TORNIQUETES","ESCALERA ELECTROMECANICA"
"23","1","PINO SUAREZ","PANTITLAN","ANDEN","ESCALERA ELECTROMECANICA"
"24","1","PINO SUAREZ","OBSERVATORIO","ANDEN","ESCALERA ELECTROMECANICA"
"25","1","BALDERAS","PANTITLAN","ANDEN","ESCALERA ELECTROMECANICA"
"26","1","BALDERAS","PANTITLAN","ANDEN","ESCALERA ELECTROMECANICA"
"27","1","BALDERAS","PANTITLAN","MEZAZINE","ESCALERA ELECTROMECANICA"
"28","1","BALDERAS","PANTITLAN","ANDEN","ESCALERA ELECTROMECANICA"
"29","1","BALDERAS","OBSERVATORIO","MEZAZINE","ESCALERA ELECTROMECANICA"
"30","1","BALDERAS","OBSERVATORIO","MEZAZINE","ESCALERA ELECTROMECANICA"
"31","1","BALDERAS","OBSERVATORIO","MEZAZINE","ESCALERA ELECTROMECANICA"
"32","1","BALDERAS","OBSERVATORIO","MEZAZINE","ESCALERA ELECTROMECANICA"
"33","1","TACUBAYA","PANTITLAN","ANDEN","ESCALERA ELECTROMECANICA"
"34","1","TACUBAYA","OBSERVATORIO","MEZAZINE","ESCALERA ELECTROMECANICA"
"35","1","TACUBAYA","OBSERVATORIO","MEZAZINE","ESCALERA ELECTROMECANICA"
"36","1","BALBUENA","SALIDA TELEVISA","MEZAZINE","ESCALERA ELECTROMECANICA"
"37","2","PINO SÚAREZ","TASQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"38","2","PINO SÚAREZ","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"39","2","CUITLÁHUAC","TASQUEÑA","ANDEN","ESCALERA ELECTROMECANICA"
"40","2","COLEGIO MILITAR","CUATRO CAMINOS","ANDEN","ESCALERA ELECTROMECANICA"
"41","2","COLEGIO MILITAR","TASQUEÑA","ANDEN","ESCALERA ELECTROMECANICA"
"42","2","NORMAL","CUATRO CAMINOS","ANDEN","ESCALERA ELECTROMECANICA"
"43","2","NORMAL","TASQUEÑA","ANDEN","ESCALERA ELECTROMECANICA"
"44","2","SAN COSME","CUATRO CAMINOS","ANDEN","ESCALERA ELECTROMECANICA"
"45","2","SAN COSME","TASQUEÑA","ANDEN","ESCALERA ELECTROMECANICA"
"46","2","REVOLUCIÓN","TASQUEÑA","ANDEN","ESCALERA ELECTROMECANICA"
"47","2","REVOLUCIÓN","CUATRO CAMINOS","ANDEN","ESCALERA ELECTROMECANICA"
"48","2","ALLENDE","TASQUEÑA","SALIDA","ESCALERA ELECTROMECANICA"
"49","2","POPOTLA","TASQUEÑA","ANDEN","ESCALERA ELECTROMECANICA"
"50","2","ZÓCALO","TASQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"51","2","ZÓCALO","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"52","2","ZÓCALO","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"53","2","ZÓCALO","TASQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"54","2","SAN ANTONIO ABAD","TASQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"55","2","SAN ANTONIO ABAD","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"56","2","ERMITA","TASQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"57","2","ERMITA","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"58","2","GENERAL ANAYA","TASQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"59","2","GENERAL ANAYA","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"60","2","TASQUEÑA","CUATRO CAMINOS","TORNIQUETES","ESCALERA ELECTROMECANICA"
"61","2","TASQUEÑA","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"62","2","PORTALES","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"63","2","PORTALES","TAXQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"64","2","NATIVITAS","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"65","2","NATIVITAS","TAXQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"66","2","VILLA DE CORTES","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"67","2","VILLA DE CORTES","TAXQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"68","2","XOLA","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"69","2","XOLA","TAXQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"70","2","VIADUCTO","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"71","2","VIADUCTO","TAXQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"72","2","PINO SUAREZ","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"73","2","PINO SUAREZ","TAXQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"74","2","ALLENDE","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"75","2","ALLENDE","TAXQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"76","2","ALLENDE","TAXQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"77","2","BELLAS ARTES","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"78","2","BELLAS ARTES","TAXQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"79","2","HIDALGO","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"80","2","HIDALGO","CUATRO CAMINOS","MEZAZINE","ESCALERA ELECTROMECANICA"
"81","2","HIDALGO","TAXQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
"82","2","HIDALGO","TAXQUEÑA","MEZAZINE","ESCALERA ELECTROMECANICA"
