"","estacion","escaleras","ingreso_gratuidad","ingreso_prepago","total_ingresos_julio"
"1","ALLENDE",4,156367,706209,862576
"2","AQUILES SERDAN",12,44198,298399,342597
"3","ATLALILCO",7,104466,635280,739746
"4","AUDITORIO",8,80938,856434,937372
"5","BALBUENA",3,48922,187124,236046
"6","BALDERAS",11,163428,528631,692059
"7","BARRANCA DEL MUERTO",10,97463,883729,981192
"8","BELLAS ARTES",7,166418,1147142,1313560
"9","CALLE 11",3,51141,301286,352427
"10","CAMARONES",16,46734,325839,372573
"11","CENTRO MEDICO",10,130620,737191,867811
"12","CHABACANO",22,171304,851556,1022860
"13","CHILPANCINGO",4,107304,1013013,1120317
"14","CIUDAD DEPORTIVA",2,18841,125863,144704
"15","COLEGIO MILITAR",2,40706,285272,325978
"16","CONSTITUYENTES",12,40494,297436,337930
"17","CONSULADO",9,48793,171774,220567
"18","COPILCO",4,73779,582128,655907
"19","CUAUHTEMOC",2,66006,282201,348207
"20","CUITLÁHUAC",1,50773,365646,416419
"21","CULHUACAN",4,59659,373731,433390
"22","DEPORTIVO 18 DE MARZO",2,118548,659519,778067
"23","EJE CENTRAL",6,39573,278459,318032
"24","ERMITA",12,125449,538591,664040
"25","FRAY SERVANDO",2,35770,169080,204850
"26","GARIBALDI",6,108390,596651,705041
"27","GENERAL ANAYA",2,88744,449023,537767
"28","GOMEZ FARIAS",2,105070,528329,633399
"29","GUERRERO",5,95287,297989,393276
"30","HIDALGO",10,223690,1012092,1235782
"31","HOSPITAL 20 DE NOVIEMBRE",6,33269,262712,295981
"32","HOSPITAL GENERAL",3,78960,420378,499338
"33","INSURGENTES SUR",6,92941,890458,983399
"34","ISABEL LA CATÓLICA",2,73359,342090,415449
"35","JAMAICA",8,98162,407542,505704
"36","JUAREZ",2,62559,313894,376453
"37","LA VILLA/BASILICA",1,44957,267743,312700
"38","LOMAS ESTRELLA",4,33111,226514,259625
"39","MARTIN CARRERA",1,134115,1134166,1268281
"40","MEXICALTZINGO",6,53562,403878,457440
"41","MIGUEL ANGEL DE QUEVEDO",4,102154,801210,903364
"42","MIXCOAC",19,115056,822726,937782
"43","MOCTEZUMA",2,116255,412579,528834
"44","MORELOS",4,67024,261686,328710
"45","NATIVITAS",2,95509,424468,519977
"46","NOPALERA",4,74771,569481,644252
"47","NORMAL",2,98856,683689,782545
"48","OLIVOS",4,59693,375181,434874
"49","PANTITLAN",5,552972,4115235,4668207
"50","PARQUE DE LOS VENADOS",6,40443,246147,286590
"51","PATRIOTISMO",4,47085,429024,476109
"52","PERIFERICO",8,113127,805667,918794
"53","PINO SUÁREZ",8,294400,1397807,1692207
"54","POLANCO",8,75348,966514,1041862
"55","POPOTLA",1,34575,180765,215340
"56","PORTALES",2,113155,418445,531600
"57","PUEBLA",2,80632,701306,781938
"58","REFINERIA",8,28291,233661,261952
"59","REVOLUCIÓN",2,138917,616842,755759
"60","SALTO DEL AGUA",7,163848,617615,781463
"61","SAN ANDRES TOMATLAN",4,32349,231951,264300
"62","SAN ANTONIO",8,38410,291827,330237
"63","SAN ANTONIO ABAD",2,82477,404982,487459
"64","SAN COSME",2,82356,457182,539538
"65","SAN JOAQUÍN",10,59091,680465,739556
"66","SAN LÁZARO",3,158938,867735,1026673
"67","SAN PEDRO DE LOS PINOS",10,39068,275502,314570
"68","SANTA ANITA",4,26824,147068,173892
"69","SEVILLA",2,55803,486963,542766
"70","TACUBA",16,200613,918697,1119310
"71","TACUBAYA",24,127241,1968044,2095285
"72","TASQUEÑA",2,155054,1560173,1715227
"73","TEZONCO",3,76680,541209,617889
"74","TLAHUAC",4,177867,1429623,1607490
"75","TLALTENCO",3,18659,122150,140809
"76","VELODROMO",2,23401,172291,195692
"77","VIADUCTO",2,76087,378369,454456
"78","VILLA DE CORTES",2,100682,359553,460235
"79","VIVEROS",2,70724,461761,532485
"80","XOLA",2,93449,445070,538519
"81","ZAPATA",8,127078,713091,840169
"82","ZAPOTITLÁN",4,48933,308673,357606
"83","ZARAGOZA",3,143242,602705,745947
"84","ZOCALO",4,210604,1108246,1318850
