,x,y,class,href,texto,x_texto,y_texto,text_anchor,transform,color,stops
0,7.0,38.0,linea2,                                                                                                                     #clg-005fff,Cuatro Caminos,6.25,38.0,end,rotate(-45),#005fff,['0200L2-CUATROCAMIN']
1,13.0,38.0,linea2,#clg-005fff,Panteones,12.25,38.0,end,rotate(-45),#005fff,['0200L2-PANTEONES']
2,14.0,73.0,linea9,#clg-xf-ff9cce,Observatorio,12.5,73.0,end,,#ff9cce,['0200L1-OBSERVATORIO']
3,18.0,21.0,linea6,                                                                                                                    #clg-xf-ff0800,El Rosario,19.5,21.0,,,#ff0800,['0200L7-ELROSARIO' '0200L6-ELROSARIO']
4,18.0,26.0,linea7,                                                                                                                    #clg-ff8300,Aquiles Serdan,17.25,26.0,end,,#ff8300,['0200L7-AQUILESSERD']
5,18.0,29.0,linea7,#clg-ff8300,Camarones,17.25,29.0,end,,#ff8300,['0200L7-CAMARONES']
6,18.0,34.0,linea7,#clg-ff8300,Refineria,17.25,34.0,end,,#ff8300,['0200L7-REFINERIA']
7,18.0,38.0,linea2,#clg-xf-005fff,Tacuba,19.5,38.0,,rotate(-45),#005fff,['0200L7-TACUBA' '0200L2-TACUBA']
8,18.0,45.0,linea7,                                                                                                                    #clg-ff8300,San Joaquín,17.25,45.0,end,,#ff8300,['0200L7-SANJOAQUIN']
9,18.0,51.0,linea7,#clg-ff8300,Polanco,17.25,51.0,end,,#ff8300,['0200L7-POLANCO']
10,18.0,57.0,linea7,#clg-ff8300,Auditorio,17.25,57.0,end,,#ff8300,['0200L7-AUDITORIO']
11,18.0,63.0,linea7,#clg-ff8300,Constituyentes,17.25,63.0,end,,#ff8300,['0200L7-CONSTITUYENTES']
12,18.0,69.0,linea9,#clg-xf-92535d,Tacubaya,16.5,69.0,end,rotate(45),#92535d,['0200L9-TACUBAYA' '0200L7-TACUBAYA' '0200L1-TACUBAYA']
13,18.0,75.0,linea7,                                                                                                                   #clg-ff8300,San Pedros de los Pinos,18.75,75.0,,,#ff8300,['0200L7-SANPEDROPINOS']
14,18.0,79.0,linea7,                                                                                                                   #clg-ff8300,San Antonio,18.75,79.0,,,#ff8300,['0200L7-SANANTONIO']
15,18.0,83.0,linea12,#clg-xf-fff0b5,Mixcoac,16.5,83.0,end,,#fff0b5,['020L12-MIXCOAC' '0200L7-MIXCOAC']
16,18.0,87.0,linea7,                                                                                                                   #clg-ff8300,Barranca del Muerto,17.25,87.0,end,,#ff8300,['0200L7-BARRANCA']
17,21.0,24.0,linea6,#clg-ff0800,Tezozomoc,21.75,24.0,,,#ff0800,['0200L6-TEZOZOMOC']
18,21.0,41.0,linea2,#clg-005fff,Cuitlahuac,21.75,41.0,,,#005fff,['0200L2-CUITLAHUAC']
19,22.0,65.0,linea1,#clg-ff9cce,Juanacatlan,22.75,65.0,,,#ff9cce,['0200L1-JUANACATLAN']
20,24.0,44.0,lineaB,#clg-005fff,Popotla,25.5,44.0,,,#005fff,['0200L2-POPOTLA']
21,25.0,26.0,linea6,                                                                                                                   #clg-ff0800,UAM Azcapotzalco,20.25,25.0,end,rotate(-45),#ff0800,['0200L6-AZCAPOTZALCO']
22,25.0,62.0,linea1,#clg-ff9cce,Chapultepec,25.75,62.0,,,#ff9cce,['0200L1-CHAPULTEPEC']
23,26.0,69.0,linea9,#clg-92535d,Patriotismo,26.75,69.0,,rotate(45),#92535d,['0200L9-PATRIOTISMO']
24,26.0,83.0,linea12,                                                                                                                  #clg-fff0b5,Insurgentes Sur,26.75,83.0,,rotate(-45),#fff0b5,['020L12-INSURGENTESSUR']
25,27.0,47.0,linea2,                                                                                                                   #clg-005fff,Colegio Militar,26.25,47.0,end,rotate(-45),#005fff,['0200L2-COLMILITAR']
26,28.0,59.0,linea1,#clg-ff9cce,Sevilla,28.75,59.0,,,#ff9cce,['0200L1-SEVILLA']
27,29.0,26.0,linea6,                                                                                                                   #clg-ff0800,Ferrería y Arena Ciudad de México,29.75,25.5,,rotate(-45),#ff0800,['0200L6-FERRERIA']
28,31.0,47.0,linea2,#clg-005fff,Normal,30.25,47.0,end,rotate(-45),#005fff,['0200L2-NORMAL']
29,31.0,57.0,linea1,#clg-ff9cce,Insurgentes,31.75,57.0,,rotate(-45),#ff9cce,['0200L1-INSURGENTES']
30,34.0,26.0,linea6,                                                                                                                   #clg-ff0800,Norte 45,34.75,26.0,,rotate(-45),#ff0800,['0200L6-NORTE45']
31,35.0,47.0,linea2,                                                                                                                   #clg-005fff,San Cosme,34.25,47.0,end,rotate(-45),#005fff,['0200L2-SANCOSME']
32,35.0,69.0,linea9,#clg-92535d,Chilpancingo,35.75,69.0,,rotate(45),#92535d,['0200L9-CHILPANCINGO']
33,35.0,83.0,linea12,                                                                                                                  #clg-fff0b5,Hospital 20 de Noviembre,35.75,82.5,,rotate(-45),                                        #fff0b5,['020L12-HOSPITAL20']
34,37.0,57.0,linea1,#clg-ff9cce,Cuauhtemoc,36.25,57.0,end,rotate(-45),#ff9cce,['0200L1-CUAUHTEMOC']
35,38.0,26.0,linea6,#clg-ff0800,Vallejo,38.75,26.0,,rotate(-45),#ff0800,['0200L6-VALLEJO']
36,38.0,43.0,lineaB,#clg-xf-a4a5a7,Buenavista,39.5,43.0,,rotate(-45),#a4a5a7,['0200LB-BUENAVISTA']
37,39.0,19.0,linea5,#clg-fff200,Politecnico,39.75,19.0,,,#fff200,['0200L5-POLITECNICO']
38,39.0,47.0,linea2,#clg-005fff,Revolucion,38.25,47.0,end,rotate(-45),#005fff,['0200L2-REVOLUCION']
39,44.0,26.0,linea5,                                                                                                                   #clg-xf-fff200,Instituto del Petroleo,45.5,26.0,,rotate(-45),#fff200,['0200L6-ITOPETROLEO' '0200L5-ITOPETROLEO']
40,45.0,38.0,linea3,#clg-a0c965,Tlatelolco,45.5,38.0,,,#a0c965,['0200L3-TLATELOLCO']
41,44.0,43.0,linea3,#clg-xf-a0c965,Guerrero,45.5,43.0,,rotate(-45),#a0c965,['0200LB-GUERRERO' '0200L3-GUERRERO']
42,44.0,47.0,linea3,#clg-xf-a0c965,Hidalgo,42.5,47.0,end,rotate(-45),#a0c965,['0200L3-HIDALGO' '0200L2-HIDALGO']
43,44.0,52.0,linea3,                                                                                                                   #clg-a0c965,Juarez,43.25,52.0,end,,#a0c965,[]
44,44.0,57.0,linea3,#clg-xf-a0c965,Balderas,45.5,57.0,,rotate(-45),#a0c965,['0200L3-BALDERAS' '0200L1-BALDERAS']
45,44.0,60.0,linea3,                                                                                                                   #clg-a0c965,Ninos Heroes,43.25,60.0,end,,#a0c965,[]
46,44.0,63.0,linea3,                                                                                                                   #clg-a0c965,Hospital General,43.25,63.0,end,,#a0c965,['0200L3-HOSPITALGRAL']
47,44.0,69.0,linea3,                                                                                                                   #clg-xf-a0c965,Centro Medico,45.5,69.0,,rotate(-45),#a0c965,['0200L9-CENTROMEDICO' '0200L3-CENTROMEDICO']
48,44.0,73.0,linea3,                                                                                                                   #clg-a0c965,Etiopia,44.75,73.0,,,#a0c965,[]
49,44.0,76.0,linea3,#clg-a0c965,Eugenia,44.75,76.0,,,#a0c965,['0200L3-EUGENIA']
50,44.0,79.0,linea3,                                                                                                                   #clg-a0c965,Division del Norte,44.75,79.0,,,#a0c965,['0200L3-DIVISIONNTE']
51,44.0,83.0,linea3,#clg-xf-a0c965,Zapata,45.5,83.0,,rotate(45),#a0c965,['020L12-ZAPATA' '0200L3-ZAPATA']
52,44.0,86.0,linea3,#clg-a0c965,Coyoacan,43.25,86.0,end,,#a0c965,['0200L3-COYOACAN']
53,44.0,89.0,linea3,                                                                                                                   #clg-a0c965,Viveros - Derechos Humanos,43.25,89.0,end,,#a0c965,['0200L3-VIVEROS']
54,44.0,92.0,linea3,                                                                                                                   #clg-a0c965,Miguel Angel de Quevedo,43.25,92.0,end,,#a0c965,['0200L3-MAQ']
55,44.0,95.0,linea3,#clg-a0c965,Copilco,43.25,95.0,end,,#a0c965,['0200L3-COPILCO']
