x,y,class,href,texto,x_texto,y_texto,text_anchor,transform,color
7,38,linea2,                                                     #clg-005fff,Cuatro Caminos,6.25,38,end,rotate(-45),#005fff
13,38,linea2,                                                    #clg-005fff,Panteones,12.25,38,end,rotate(-45),#005fff
14,73,linea9,                                                    #clg-xf-ff9cce,Observatorio,12.5,73,end,,#ff9cce
18,21,linea6,                                                    #clg-xf-ff0800,El Rosario,19.5,21,,,#ff0800
18,26,linea7,                                                    #clg-ff8300,Aquiles Serdan,17.25,26,end,,#ff8300
18,29,linea7,                                                    #clg-ff8300,Camarones,17.25,29,end,,#ff8300
18,34,linea7,                                                    #clg-ff8300,Refineria,17.25,34,end,,#ff8300
18,38,linea2,                                                    #clg-xf-005fff,Tacuba,19.5,38,,rotate(-45),#005fff
18,45,linea7,                                                    #clg-ff8300,San Joaquín,17.25,45,end,,#ff8300
18,51,linea7,                                                    #clg-ff8300,Polanco,17.25,51,end,,#ff8300
18,57,linea7,                                                    #clg-ff8300,Auditorio,17.25,57,end,,#ff8300
18,63,linea7,                                                    #clg-ff8300,Constituyentes,17.25,63,end,,#ff8300
18,69,linea9,                                                    #clg-xf-92535d,Tacubaya,16.5,69,end,rotate(45),#92535d
18,75,linea7,                                                    #clg-ff8300,San Pedros de los Pinos,18.75,75,,,#ff8300
18,79,linea7,                                                    #clg-ff8300,San Antonio,18.75,79,,,#ff8300
18,83,linea12,                                                   #clg-xf-fff0b5,Mixcoac,16.5,83,end,,#fff0b5
18,87,linea7,                                                    #clg-ff8300,Barranca del Muerto,17.25,87,end,,#ff8300
21,24,linea6,                                                    #clg-ff0800,Tezozomoc,21.75,24,,,#ff0800
21,41,linea2,                                                    #clg-005fff,Cuitlahuac,21.75,41,,,#005fff
22,65,linea1,                                                    #clg-ff9cce,Juanacatlan,22.75,65,,,#ff9cce
24,44,lineaB,                                                    #clg-005fff,Popotla,25.5,44,,,#005fff
25,26,linea6,                                                    #clg-ff0800,UAM,20.25,25,end,rotate(-45),#ff0800
25,62,linea1,                                                    #clg-ff9cce,Chapultepec,25.75,62,,,#ff9cce
26,69,linea9,                                                    #clg-92535d,Patriotismo,26.75,69,,rotate(45),#92535d
26,83,linea12,                                                   #clg-fff0b5,Insurgentes Sur,26.75,83,,rotate(-45),#fff0b5
27,47,linea2,                                                    #clg-005fff,Colegio Militar,26.25,47,end,rotate(-45),#005fff
28,59,linea1,                                                    #clg-ff9cce,Sevilla,28.75,59,,,#ff9cce
29,26,linea6,                                                    #clg-ff0800,Ferrería,29.75,25.5,,rotate(-45),#ff0800
31,47,linea2,                                                    #clg-005fff,Normal,30.25,47,end,rotate(-45),#005fff
31,57,linea1,                                                    #clg-ff9cce,Insurgentes,31.75,57,,rotate(-45),#ff9cce
34,26,linea6,                                                    #clg-ff0800,Norte 45,34.75,26,,rotate(-45),#ff0800
35,47,linea2,                                                    #clg-005fff,San Cosme,34.25,47,end,rotate(-45),#005fff
35,69,linea9,                                                    #clg-92535d,Chilpancingo,35.75,69,,rotate(45),#92535d
35,83,linea12,                                                   #clg-fff0b5,Hospital,35.75,82.5,,rotate(-45),#fff0b5
37,57,linea1,                                                    #clg-ff9cce,Cuauhtemoc,36.25,57,end,rotate(-45),#ff9cce
38,26,linea6,                                                    #clg-ff0800,Vallejo,38.75,26,,rotate(-45),#ff0800
38,43,lineaB,                                                    #clg-xf-a4a5a7,Buenavista,39.5,43,,rotate(-45),#a4a5a7
39,19,linea5,                                                    #clg-fff200,Politecnico,39.75,19,,,#fff200
39,47,linea2,                                                    #clg-005fff,Revolucion,38.25,47,end,rotate(-45),#005fff
44,26,linea5,                                                    #clg-xf-fff200,Instituto del Petroleo,45.5,26,,rotate(-45),#fff200
45,38,linea3,                                                    #clg-a0c965,Tlatelolco,45.5,38,,,#a0c965
44,43,linea3,                                                    #clg-xf-a0c965,Guerrero,45.5,43,,rotate(-45),#a0c965
44,47,linea3,                                                    #clg-xf-a0c965,Hidalgo,42.5,47,end,rotate(-45),#a0c965
44,52,linea3,                                                    #clg-a0c965,Juarez,43.25,52,end,,#a0c965
44,57,linea3,                                                    #clg-xf-a0c965,Balderas,45.5,57,,rotate(-45),#a0c965
