x1,y1,x2,y2,class
54,47,60,53,c1 
60,70,60,88,c1 
45,47,49,47,c1 
27,47,43,47,c1 
60,58,60,68,c1 
60,53,60,56,c1 
51,47,54,47,c1 
6,38,18,38,c1 
18,38,27,47,c1 
60,90,60,96,c1 
64,57,70,51,c2 
30,57,43,57,c2 
70,51,74,51,c2 
45,57,64,57,c2 
15,72,17,70,c2 
84,65,87,65,c2 
19,68,30,57,c2 
80,61,84,65,c2 
80,57,80,61,c2 
74,51,80,57,c2 
45,26,54,26,c3 
18,21,23,26,c3 
56,26,69,26,c3 
23,26,43,26,c3 
18,39,18,68,c4 
18,70,18,82,c4 
18,84,18,88,c4 
18,22,18,37,c4 
18,69,43,69,c5 
45,69,59,69,c5 
71,69,84,69,c5 
84,69,87,66,c5 
61,69,69,69,c5 
18,83,43,83,c6 
84,103,97,116,c6 
50,83,56,89,c6 
76,100,79,103,c6 
45,83,50,83,c6 
76,95,76,100,c6 
70,89,76,95,c6 
79,103,84,103,c6 
56,89,70,89,c6 
85,46,88,49,c7 
39,18,39,21,c7 
88,49,88,64,c7 
76,37,83,44,c7 
55,37,76,37,c7 
39,21,55,37,c7 
75,76,75,93,c8 
50,59,65,74,c8 
50,58,50,59,c8 
50,43,50,56,c8 
77,95,88,95,c8 
65,74,73,74,c8 
73,74,75,76,c8 
75,93,77,95,c8 
91,68,91,89,c9 
91,89,95,93,c9 
88,65,91,68,c9 
38,43,43,43,c10 
45,43,49,43,c10 
66,43,73,50,c10 
51,43,66,43,c10 
75,51,78,51,c10 
88,11,88,41,c10 
78,51,88,41,c10 
55,17,55,28,c11 
44,39,44,99,c11 
44,39,55,28,c11 
70,26,70,36,c12 
70,38,70,46,c12 
70,52,70,73,c12 
70,48,70,50,c12 
